id,Synonym,WT normalised reads,Δ crp normalised reads,log2FoldChange (KO/WT),padj
Rv0001,dnaA,7231,6158,-0.23,0.675951639
Rv0002,dnaN,1807,1629,-0.15,0.673538259
Rv0003,recF,1802,1841,0.03,1
Rv0004,Rv0004,853,1003,0.23,0.596794141
Rv0005,gyrB,124892,39319,-1.67,8.12E-10
Rv0006,gyrA,34709,11190,-1.63,1.75E-09
Rv0007,Rv0007,5966,3023,-0.98,0.000917426
Rv0008c,Rv0008c,336,175,-0.94,0.017495158
Rv0009,ppiA,1444,866,-0.74,0.254036875
Rv0010c,Rv0010c,3819,1303,-1.55,0.012201084
Rv0011c,Rv0011c,1487,457,-1.7,0.000234131
Rv0012,Rv0012,1040,1297,0.32,0.379107222
Rv0013,trpG,1228,1386,0.17,0.947964724
Rv0014c,pknB,4415,2865,-0.62,0.125477435
Rv0015c,pknA,7497,3586,-1.06,0.000242008
Rv0016c,pbpA,7168,4962,-0.53,0.089896265
Rv0017c,rodA,1901,1114,-0.77,0.013372495
Rv0018c,pstP,6547,3371,-0.96,0.001079159
Rv0019c,fhaB,3649,2349,-0.64,0.046581245
Rv0020c,fhaA,31246,14599,-1.1,9.79E-05
Rv0021c,Rv0021c,332,306,-0.12,0.832620112
Rv0022c,whiB5,90,88,-0.02,0.980450882
Rv0023,Rv0023,2651,4609,0.8,0.01171899
Rv0024,Rv0024,2153,1855,-0.22,0.730803892
Rv0025,Rv0025,1141,676,-0.76,0.025156825
Rv0026,Rv0026,2141,1260,-0.76,0.017460488
Rv0027,Rv0027,251,176,-0.51,0.256589299
Rv0028,Rv0028,89,76,-0.24,0.817957359
Rv0029,Rv0029,1330,1287,-0.05,0.956485681
Rv0030,Rv0030,237,360,0.61,0.165934434
Rv0031,Rv0031,104,138,0.4,0.821122478
Rv0032,bioF2,459,589,0.36,0.496711877
Rv0033,acpA,103,184,0.83,0.121521794
Rv0034,Rv0034,12,54,2.17,0.008845103
Rv0035,fadD34,72,261,1.85,2.56E-05
Rv0036c,Rv0036c,2152,2254,0.07,0.906701312
Rv0037c,Rv0037c,657,1078,0.72,0.035004144
Rv0038,Rv0038,2513,2489,-0.01,0.969755853
Rv0039c,Rv0039c,449,702,0.64,0.484978169
Rv0040c,mtc28,427,672,0.65,0.074074511
Rv0041,leuS,1990,3080,0.63,0.04351921
Rv0042c,Rv0042c,1130,864,-0.39,0.302273459
Rv0043c,Rv0043c,474,381,-0.32,0.473444735
Rv0044c,Rv0044c,561,509,-0.14,0.794747647
Rv0045c,Rv0045c,1434,1375,-0.06,0.898926133
Rv0046c,ino1,26145,11221,-1.22,1.30E-05
Rv0047c,Rv0047c,18954,5599,-1.76,1.39E-10
Rv0048c,Rv0048c,626,856,0.45,0.243145936
Rv0049,Rv0049,1486,1428,-0.06,0.942326664
Rv0050,ponA1,4684,4516,-0.05,0.916920137
Rv0051,Rv0051,1186,2342,0.98,0.002138303
Rv0052,Rv0052,284,515,0.86,0.023536049
Rv0053,rpsF,389,916,1.24,0.000183131
Rv0054,ssb,10324,5106,-1.02,0.006381531
Rv0055,rpsR1,3819,1768,-1.11,0.227128554
Rv0056,rplI,3027,2062,-0.55,0.091817683
Rv0057,Rv0057,4978,5002,0.01,1
Rv0058,dnaB,12822,6273,-1.03,0.000377434
Rv0059,Rv0059,2592,1326,-0.97,0.00134372
Rv0060,Rv0060,8944,4927,-0.86,0.004015374
Rv0061c,Rv0061c,864,651,-0.41,0.341810192
Rv0062,celA1,121,472,1.96,1.81E-06
Rv0063,Rv0063,166,365,1.14,0.003549493
Rv0064,Rv0064,7044,4316,-0.71,0.02211998
Rv0064A,vapB1,746,331,-1.17,0.000719683
Rv0065,vapC1,542,228,-1.25,0.000770522
Rv0066c,icd2,4082,2483,-0.72,0.019775458
Rv0067c,Rv0067c,414,594,0.52,0.169392958
Rv0068,Rv0068,180,111,-0.69,0.223226619
Rv0069c,sdaA,99,584,2.57,2.02E-10
Rv0070c,glyA2,72,198,1.45,0.003539041
Rv0071,Rv0071,272,195,-0.48,0.362106479
Rv0072,Rv0072,2640,1401,-0.91,0.003726965
Rv0073,Rv0073,3186,2468,-0.37,0.262861953
Rv0074,Rv0074,2481,1698,-0.55,0.081952724
Rv0075,Rv0075,1731,1418,-0.29,0.450889973
Rv0076c,Rv0076c,90,165,0.88,0.08039395
Rv0077c,Rv0077c,81,66,-0.3,0.76980398
Rv0078,Rv0078,86,93,0.11,0.974884229
Rv0078A,Rv0078A,3134,2752,-0.19,0.686765321
Rv0079,Rv0079,3120,595,-2.39,4.05E-17
Rv0080,Rv0080,996,140,-2.83,2.34E-16
Rv0081,Rv0081,553,163,-1.77,6.56E-07
Rv0082,Rv0082,616,423,-0.54,0.169918767
Rv0083,Rv0083,626,678,0.11,0.810170311
Rv0084,hycD,381,750,0.98,0.006485799
Rv0085,hycP,157,110,-0.51,0.350539897
Rv0086,hycQ,871,639,-0.45,0.26949277
Rv0087,hycE,653,567,-0.2,0.631331096
Rv0088,Rv0088,3435,3242,-0.08,0.822656794
Rv0089,Rv0089,97,83,-0.22,0.792514119
Rv0090,Rv0090,22,30,0.44,0.751305287
Rv0091,mtn,75,334,2.15,1.69E-06
Rv0092,ctpA,838,1261,0.59,0.144637043
Rv0093c,Rv0093c,504,356,-0.5,0.178993896
Rv0094c,Rv0094c,361,116,-1.64,0.26352083
Rv0095c,Rv0095c,175,117,-0.58,0.357521145
Rv0096,PPE1,194,504,1.38,0.000249412
Rv0097,Rv0097,844,954,0.18,0.744115661
Rv0098,fcoT,705,1000,0.5,0.185989843
Rv0099,fadD10,866,1146,0.4,0.241517318
Rv0100,Rv0100,213,299,0.49,0.296877116
Rv0101,nrp,2709,3049,0.17,0.643137742
Rv0102,Rv0102,2030,2060,0.02,0.943389844
Rv0103c,ctpB,2507,2750,0.13,0.772792445
Rv0104,Rv0104,316,679,1.1,0.001833262
Rv0105c,rpmB1,37,8,-2.22,0.070220133
Rv0106,Rv0106,681,197,-1.79,4.76E-07
Rv0107c,ctpI,2058,3708,0.85,0.007096651
Rv0108c,Rv0108c,391,569,0.54,0.176673465
Rv0109,PE_PGRS1,256,303,0.24,0.688176104
Rv0110,Rv0110,441,424,-0.06,0.916928916
Rv0111,Rv0111,413,1064,1.37,3.02E-05
Rv0112,gca,894,729,-0.29,0.521337055
