,gene,Category
1,RVBD0650,Glycolysis_/_Gluconeogenesis
2,RVBD0946c,Glycolysis_/_Gluconeogenesis
3,RVBD2029c,Glycolysis_/_Gluconeogenesis
4,RVBD3010c,Glycolysis_/_Gluconeogenesis
5,RVBD1099c,Glycolysis_/_Gluconeogenesis
6,RVBD0363c,Glycolysis_/_Gluconeogenesis
7,RVBD1438,Glycolysis_/_Gluconeogenesis
8,RVBD1436,Glycolysis_/_Gluconeogenesis
9,RVBD1437,Glycolysis_/_Gluconeogenesis
10,RVBD0489,Glycolysis_/_Gluconeogenesis
11,RVBD1023,Glycolysis_/_Gluconeogenesis
12,RVBD1617,Glycolysis_/_Gluconeogenesis
13,RVBD2241,Glycolysis_/_Gluconeogenesis
14,RVBD2497c,Glycolysis_/_Gluconeogenesis
15,RVBD0843,Glycolysis_/_Gluconeogenesis
16,RVBD2496c,Glycolysis_/_Gluconeogenesis
17,RVBD2495c,Glycolysis_/_Gluconeogenesis
18,RVBD0462,Glycolysis_/_Gluconeogenesis
19,RVBD3303c,Glycolysis_/_Gluconeogenesis
20,RVBD0794c,Glycolysis_/_Gluconeogenesis
21,RVBD2455c,Glycolysis_/_Gluconeogenesis
22,RVBD2454c,Glycolysis_/_Gluconeogenesis
23,RVBD0761c,Glycolysis_/_Gluconeogenesis
24,RVBD1862,Glycolysis_/_Gluconeogenesis
25,RVBD0162c,Glycolysis_/_Gluconeogenesis
26,RVBD1530,Glycolysis_/_Gluconeogenesis
27,RVBD0768,Glycolysis_/_Gluconeogenesis
28,RVBD2858c,Glycolysis_/_Gluconeogenesis
29,RVBD0147,Glycolysis_/_Gluconeogenesis
30,RVBD0223c,Glycolysis_/_Gluconeogenesis
31,RVBD3293,Glycolysis_/_Gluconeogenesis
32,RVBD0458,Glycolysis_/_Gluconeogenesis
33,RVBD3667,Glycolysis_/_Gluconeogenesis
34,RVBD3068c,Glycolysis_/_Gluconeogenesis
35,RVBD2702,Glycolysis_/_Gluconeogenesis
36,RVBD0211,Glycolysis_/_Gluconeogenesis
37,RVBD0889c,Citrate_cycle_(TCA_cycle)
38,RVBD0896,Citrate_cycle_(TCA_cycle)
39,RVBD1131,Citrate_cycle_(TCA_cycle)
40,RVBD1475c,Citrate_cycle_(TCA_cycle)
41,RVBD0066c,Citrate_cycle_(TCA_cycle)
42,RVBD3339c,Citrate_cycle_(TCA_cycle)
43,RVBD2215,Citrate_cycle_(TCA_cycle)
44,RVBD0462,Citrate_cycle_(TCA_cycle)
45,RVBD3303c,Citrate_cycle_(TCA_cycle)
46,RVBD0794c,Citrate_cycle_(TCA_cycle)
47,RVBD2455c,Citrate_cycle_(TCA_cycle)
48,RVBD2454c,Citrate_cycle_(TCA_cycle)
49,RVBD0952,Citrate_cycle_(TCA_cycle)
50,RVBD0951,Citrate_cycle_(TCA_cycle)
51,RVBD3318,Citrate_cycle_(TCA_cycle)
52,RVBD0248c,Citrate_cycle_(TCA_cycle)
53,RVBD3319,Citrate_cycle_(TCA_cycle)
54,RVBD0247c,Citrate_cycle_(TCA_cycle)
55,RVBD3316,Citrate_cycle_(TCA_cycle)
56,RVBD3317,Citrate_cycle_(TCA_cycle)
57,RVBD1552,Citrate_cycle_(TCA_cycle)
58,RVBD1553,Citrate_cycle_(TCA_cycle)
59,RVBD1554,Citrate_cycle_(TCA_cycle)
60,RVBD1555,Citrate_cycle_(TCA_cycle)
61,RVBD1098c,Citrate_cycle_(TCA_cycle)
62,RVBD1240,Citrate_cycle_(TCA_cycle)
63,RVBD2852c,Citrate_cycle_(TCA_cycle)
64,RVBD2967c,Citrate_cycle_(TCA_cycle)
65,RVBD0211,Citrate_cycle_(TCA_cycle)
66,RVBD2241,Citrate_cycle_(TCA_cycle)
67,RVBD2497c,Citrate_cycle_(TCA_cycle)
68,RVBD0843,Citrate_cycle_(TCA_cycle)
69,RVBD2496c,Citrate_cycle_(TCA_cycle)
70,RVBD2495c,Citrate_cycle_(TCA_cycle)
71,RVBD0946c,Pentose_phosphate_pathway
72,RVBD1121,Pentose_phosphate_pathway
73,RVBD1447c,Pentose_phosphate_pathway
74,RVBD1445c,Pentose_phosphate_pathway
75,RVBD1122,Pentose_phosphate_pathway
76,RVBD1844c,Pentose_phosphate_pathway
77,RVBD1408,Pentose_phosphate_pathway
78,RVBD1449c,Pentose_phosphate_pathway
79,RVBD1448c,Pentose_phosphate_pathway
80,RVBD2465c,Pentose_phosphate_pathway
81,RVBD0478,Pentose_phosphate_pathway
82,RVBD2436,Pentose_phosphate_pathway
83,RVBD3068c,Pentose_phosphate_pathway
84,RVBD1017c,Pentose_phosphate_pathway
