"","gene","name","Superclass_x","Class_x","Subclass_x"
"1","RVBD0001","dnaA","","","DNA_replication"
"2","RVBD0002","dnaN","","","DNA_replication"
"3","RVBD0003","recF","DNA Processing","DNA Processing","DNA_repair"
"4","RVBD0005","gyrB","DNA Processing","DNA Processing","DNA_replication"
"5","RVBD0005","gyrB","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"6","RVBD0006","gyrA","DNA Processing","DNA Processing","DNA_replication"
"7","RVBD0006","gyrA","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"8","RVBD0013","trpG","Metabolism","Amino Acids and Derivatives","Aromatic_amino_acids_and_derivatives"
"9","RVBD0013","trpG","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"10","RVBD0014c","pknB","","","Cell_Division"
"11","RVBD0015c","pknA","","","Cell_Division"
"12","RVBD0016c","pbpA","Cellular Processes","Cell Cycle, Cell Division and Death",""
"13","RVBD0017c","rodA","Cellular Processes","Cell Cycle, Cell Division and Death",""
"14","RVBD0018c","pstP","","","Proline_and_4-hydroxyproline"
"15","RVBD0022c","whiB5","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"16","RVBD0023","RVBD0023","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"17","RVBD0024","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"18","RVBD0025","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"19","RVBD0026","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"20","RVBD0027","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"21","RVBD0028","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"22","RVBD0029","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"23","RVBD0030","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"24","RVBD0032","bioF2","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Sphingolipids"
"25","RVBD0033","acpA","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"26","RVBD0033","acpA","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"27","RVBD0033","acpA","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Sphingolipids"
"28","RVBD0038","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response"
"29","RVBD0041","leuS","Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases"
"30","RVBD0041","leuS","DNA Processing","DNA Processing","DNA_uptake,_competence"
"31","RVBD0046c","ino1","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"32","RVBD0053","rpsF","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"33","RVBD0054","ssb","DNA Processing","DNA Processing","DNA_repair"
"34","RVBD0055","rpsR1","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"35","RVBD0056","rplI","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"36","RVBD0058","dnaB","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"37","RVBD0058","dnaB","","","DNA_replication"
"38","RVBD0065","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"39","RVBD0066c","icd2","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"40","RVBD0068","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Isoprenoids"
"41","RVBD0069c","sdaA","Metabolism","Amino Acids and Derivatives","Alanine,_serine,_and_glycine"
"42","RVBD0069c","sdaA","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"43","RVBD0070c","glyA","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"44","RVBD0079","","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"45","RVBD0091","mtn","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"46","RVBD0091","mtn","Metabolism","Carbohydrates","C-1_compound_metabolism"
"47","RVBD0091","mtn","Metabolism","Nucleosides and Nucleotides",""
"48","RVBD0092","ctpA","Membrane Transport","Membrane Transport","Cation_transporters"
"49","RVBD0096","PPE1","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
