coordinate,direction
121,+
140,-
1009,-
3509,+
5629,+
7419,+
7539,+
7839,+
8092,-
8231,+
9335,+
10605,+
11111,+
12371,-
12787,+
13058,+
13449,+
15498,-
15698,+
16055,+
18848,-
20388,-
22906,-
23763,-
24415,-
24824,+
25272,-
25416,+
25729,+
29497,-
31743,-
32220,+
39295,-
39865,-
40608,-
41066,-
42470,-
42743,-
42934,-
43893,+
46883,-
49695,-
50810,+
51025,+
51540,-
52175,+
52551,-
52930,+
53084,+
53533,-
54729,+
57446,+
58190,+
59271,-
59939,+
60439,+
60696,+
61366,+
64851,-
65169,-
65440,-
67825,+
68658,-
69647,+
79056,-
79927,-
80066,-
80255,-
80317,+
81602,+
82593,+
87922,-
88117,+
90149,+
92988,+
93259,+
94703,+
101044,-
102390,+
102605,+
105515,+
109691,+
110271,-
110407,-
111586,-
112697,-
114589,+
117033,+
117250,+
117407,+
117437,-
118720,+
118964,+
120017,-
120413,-
120717,-
121381,-
122029,-
122967,-
128754,-
129139,-
130741,-
133967,+
139854,+
141211,+
146689,-
152716,+
155916,+
160350,+
161349,+
161574,+
162594,-
163711,+
165267,+
166379,+
168896,-
169214,-
170607,+
171502,+
177243,-
179884,-
182329,-
182506,-
182736,-
185792,+
186357,-
186539,+
193196,-
194224,-
195190,+
197207,+
197468,+
197813,+
198281,+
199197,+
200708,+
201838,+
202269,+
202752,+
203278,+
203452,+
204568,+
204760,-
205461,+
206176,+
206960,+
207372,+
208550,+
209308,+
209556,+
209786,+
210723,-
214466,+
214625,+
215981,+
217943,-
218308,+
218316,-
218450,-
219802,+
219948,-
219984,+
222210,-
222358,+
224076,+
230332,-
234459,+
234872,-
236535,-
236825,+
237576,+
238720,-
240093,-
240622,-
241119,-
243139,-
246322,-
247290,-
247398,-
247425,+
247792,-
250517,+
251897,+
252078,+
253666,+
254984,+
257852,-
263031,+
263624,+
263811,+
266632,+
268920,+
269404,+
269611,+
275119,-
278031,+
279546,-
279547,+
284710,-
285029,-
285349,+
289297,+
289697,-
292450,+
293331,+
293710,+
293726,-
296328,-
296449,-
297675,+
298273,-
298753,-
299124,+
299426,-
300290,-
301173,-
301512,-
301940,-
301951,+
308490,-
309352,-
309662,-
310175,-
314578,-
316616,-
317793,-
323164,-
324357,-
328268,-
329464,-
330513,+
331400,-
331843,+
331996,+
332240,+
332496,+
332703,+
333269,-
341684,-
341869,+
342258,+
343325,+
344290,+
345663,+
346092,+
349307,+
352175,+
352305,+
352899,+
353963,+
354906,+
355325,+
355567,+
356777,-
357302,-
363985,+
377314,+
377695,+
377955,+
378248,+
378774,+
382605,+
382974,+
383435,-
383698,+
384618,+
386201,-
388113,+
389271,+
398412,+
398540,+
401128,-
402759,-
403935,-
410447,-
410589,-
412821,+
414224,-
414256,+
415677,-
417426,+
421805,+
422818,+
423540,+
423868,+
434640,-
436403,+
437615,+
438888,+
441558,-
442591,+
