"","start","end","strand","seqnames","unique_row_ID"
"1",1,4641652,"+","H37Rv",1
"2",1,4641652,"-","H37Rv",2
"3",4641652,4642202,"+","H37Rv",3
"8024",4641652,4642202,"-","H37Rv",4
"4",4642202,4642752,"+","H37Rv",5
"8025",4642202,4642752,"-","H37Rv",6
"5",4642752,4643302,"+","H37Rv",7
"8026",4642752,4643302,"-","H37Rv",8
"6",4643302,4643852,"+","H37Rv",9
"8027",4643302,4643852,"-","H37Rv",10
"7",4643852,4644402,"+","H37Rv",11
"8028",4643852,4644402,"-","H37Rv",12
"8",4644402,4644952,"+","H37Rv",13
"8029",4644402,4644952,"-","H37Rv",14
"9",4644952,4645502,"+","H37Rv",15
"8030",4644952,4645502,"-","H37Rv",16
"10",4645502,4646052,"+","H37Rv",17
"8031",4645502,4646052,"-","H37Rv",18
"11",4646052,4646602,"+","H37Rv",19
"8032",4646052,4646602,"-","H37Rv",20
"12",4646602,4647152,"+","H37Rv",21
"8033",4646602,4647152,"-","H37Rv",22
"13",4647152,4647702,"+","H37Rv",23
"8034",4647152,4647702,"-","H37Rv",24
"14",4647702,4648252,"+","H37Rv",25
"8035",4647702,4648252,"-","H37Rv",26
"15",4648252,4648802,"+","H37Rv",27
"8036",4648252,4648802,"-","H37Rv",28
"16",4648802,4649352,"+","H37Rv",29
"8037",4648802,4649352,"-","H37Rv",30
"17",4649352,4649902,"+","H37Rv",31
"8038",4649352,4649902,"-","H37Rv",32
"18",4649902,4650452,"+","H37Rv",33
"8039",4649902,4650452,"-","H37Rv",34
"19",4650452,4651002,"+","H37Rv",35
"8040",4650452,4651002,"-","H37Rv",36
"20",4651002,4651552,"+","H37Rv",37
"8041",4651002,4651552,"-","H37Rv",38
"21",4651552,4652102,"+","H37Rv",39
"8042",4651552,4652102,"-","H37Rv",40
"22",4652102,4652652,"+","H37Rv",41
"8043",4652102,4652652,"-","H37Rv",42
"23",4652652,4653202,"+","H37Rv",43
"8044",4652652,4653202,"-","H37Rv",44
"24",4653202,4653752,"+","H37Rv",45
"8045",4653202,4653752,"-","H37Rv",46
"25",4653752,4654302,"+","H37Rv",47
"8046",4653752,4654302,"-","H37Rv",48
"26",4654302,4654852,"+","H37Rv",49
"8047",4654302,4654852,"-","H37Rv",50
"27",4654852,4655402,"+","H37Rv",51
"8048",4654852,4655402,"-","H37Rv",52
"28",4655402,4655952,"+","H37Rv",53
"8049",4655402,4655952,"-","H37Rv",54
"29",4655952,4656502,"+","H37Rv",55
"8050",4655952,4656502,"-","H37Rv",56
"30",4656502,4657052,"+","H37Rv",57
"8051",4656502,4657052,"-","H37Rv",58
"31",4657052,4657602,"+","H37Rv",59
"8052",4657052,4657602,"-","H37Rv",60
"32",4657602,4658152,"+","H37Rv",61
"8053",4657602,4658152,"-","H37Rv",62
"33",4658152,4658702,"+","H37Rv",63
"8054",4658152,4658702,"-","H37Rv",64
"34",4658702,4659252,"+","H37Rv",65
"8055",4658702,4659252,"-","H37Rv",66
"35",4659252,4659802,"+","H37Rv",67
"8056",4659252,4659802,"-","H37Rv",68
"36",4659802,4660352,"+","H37Rv",69
"8057",4659802,4660352,"-","H37Rv",70
"37",4660352,4660902,"+","H37Rv",71
"8058",4660352,4660902,"-","H37Rv",72
"38",4660902,4661452,"+","H37Rv",73
"8059",4660902,4661452,"-","H37Rv",74
"39",4661452,4662002,"+","H37Rv",75
"8060",4661452,4662002,"-","H37Rv",76
"40",4662002,4662552,"+","H37Rv",77
"8061",4662002,4662552,"-","H37Rv",78
"41",4662552,4663102,"+","H37Rv",79
"8062",4662552,4663102,"-","H37Rv",80
"42",4663102,4663652,"+","H37Rv",81
"8063",4663102,4663652,"-","H37Rv",82
"43",4663652,4664202,"+","H37Rv",83
"8064",4663652,4664202,"-","H37Rv",84
"44",4664202,4664752,"+","H37Rv",85
"8065",4664202,4664752,"-","H37Rv",86
"45",4664752,4665302,"+","H37Rv",87
"8066",4664752,4665302,"-","H37Rv",88
"46",4665302,4665852,"+","H37Rv",89
"8067",4665302,4665852,"-","H37Rv",90
"47",4665852,4666402,"+","H37Rv",91
"8068",4665852,4666402,"-","H37Rv",92
"48",4666402,4666952,"+","H37Rv",93
"8069",4666402,4666952,"-","H37Rv",94
"49",4666952,4667502,"+","H37Rv",95
"8070",4666952,4667502,"-","H37Rv",96
"50",4667502,4668052,"+","H37Rv",97
"8071",4667502,4668052,"-","H37Rv",98
"51",4668052,4668602,"+","H37Rv",99
"8072",4668052,4668602,"-","H37Rv",100
"52",4668602,4669152,"+","H37Rv",101
"8073",4668602,4669152,"-","H37Rv",102
"53",4669152,4669702,"+","H37Rv",103
"8074",4669152,4669702,"-","H37Rv",104
"54",4669702,4670252,"+","H37Rv",105
"8075",4669702,4670252,"-","H37Rv",106
"55",4670252,4670802,"+","H37Rv",107
"8076",4670252,4670802,"-","H37Rv",108
"56",4670802,4671352,"+","H37Rv",109
"8077",4670802,4671352,"-","H37Rv",110
"57",4671352,4671902,"+","H37Rv",111
"8078",4671352,4671902,"-","H37Rv",112
"58",4671902,4672452,"+","H37Rv",113
"8079",4671902,4672452,"-","H37Rv",114
"59",4672452,4673002,"+","H37Rv",115
"8080",4672452,4673002,"-","H37Rv",116
"60",4673002,4673552,"+","H37Rv",117
"8081",4673002,4673552,"-","H37Rv",118
"61",4673552,4674102,"+","H37Rv",119
"8082",4673552,4674102,"-","H37Rv",120
"62",4674102,4674652,"+","H37Rv",121
"8083",4674102,4674652,"-","H37Rv",122
"63",4674652,4675202,"+","H37Rv",123
"8084",4674652,4675202,"-","H37Rv",124
"64",4675202,4675752,"+","H37Rv",125
"8085",4675202,4675752,"-","H37Rv",126
"65",4675752,4676302,"+","H37Rv",127
"8086",4675752,4676302,"-","H37Rv",128
"66",4676302,4676852,"+","H37Rv",129
"8087",4676302,4676852,"-","H37Rv",130
"67",4676852,4677402,"+","H37Rv",131
"8088",4676852,4677402,"-","H37Rv",132
"68",4677402,4677952,"+","H37Rv",133
"8089",4677402,4677952,"-","H37Rv",134
"69",4677952,4678502,"+","H37Rv",135
"8090",4677952,4678502,"-","H37Rv",136
"70",4678502,4679052,"+","H37Rv",137
"8091",4678502,4679052,"-","H37Rv",138
"71",4679052,4679602,"+","H37Rv",139
"8092",4679052,4679602,"-","H37Rv",140
"72",4679602,4680152,"+","H37Rv",141
"8093",4679602,4680152,"-","H37Rv",142
"73",4680152,4680702,"+","H37Rv",143
"8094",4680152,4680702,"-","H37Rv",144
"74",4680702,4681252,"+","H37Rv",145
"8095",4680702,4681252,"-","H37Rv",146
"75",4681252,4681802,"+","H37Rv",147
"8096",4681252,4681802,"-","H37Rv",148
"76",4681802,4682352,"+","H37Rv",149
"8097",4681802,4682352,"-","H37Rv",150
"77",4682352,4682902,"+","H37Rv",151
"8098",4682352,4682902,"-","H37Rv",152
"78",4682902,4683452,"+","H37Rv",153
"8099",4682902,4683452,"-","H37Rv",154
"79",4683452,4684002,"+","H37Rv",155
"8100",4683452,4684002,"-","H37Rv",156
"80",4684002,4684552,"+","H37Rv",157
"8101",4684002,4684552,"-","H37Rv",158
"81",4684552,4685102,"+","H37Rv",159
"8102",4684552,4685102,"-","H37Rv",160
"82",4685102,4685652,"+","H37Rv",161
"8103",4685102,4685652,"-","H37Rv",162
"83",4685652,4686202,"+","H37Rv",163
