"","start","end","strand","geneID","start_norm","end_norm"
"1",1,4641652,"+","Eco",-4641651,0
"2",1,4641652,"-","Eco_as",-4641651,0
"221",4641653,4643176,"+","RVBD0001",1,1524
"225",4641653,4643176,"-","RVBD0001_as",1,1524
"15",4643176,4643704,"+","RVBD0001-RVBD0002 intergenic region",1524,2052
"16",4643176,4643704,"-","RVBD0001-RVBD0002 intergenic region_as",1524,2052
"6",4643704,4644912,"+","RVBD0002",2052,3260
"68",4643704,4644912,"-","RVBD0002_as",2052,3260
"21000",4644912,4644932,"+","RVBD0002-RVBD0003 intergenic region",3260,3280
"210001",4644912,4644932,"-","RVBD0002-RVBD0003 intergenic region_as",3260,3280
"10",4644932,4646089,"+","RVBD0003",3280,4437
"103",4644932,4646089,"-","RVBD0003_as",3280,4437
"14",4646086,4646649,"+","RVBD0004",4434,4997
"1411",4646086,4646649,"-","RVBD0004_as",4434,4997
"4",4646649,4646892,"+","RVBD0004-RVBD0005 intergenic region",4997,5240
"415",4646649,4646892,"-","RVBD0004-RVBD0005 intergenic region_as",4997,5240
"18",4646892,4648919,"+","RVBD0005",5240,7267
"183",4646892,4648919,"-","RVBD0005_as",5240,7267
"5",4648919,4648954,"+","RVBD0005-RVBD0006 intergenic region",7267,7302
"53",4648919,4648954,"-","RVBD0005-RVBD0006 intergenic region_as",7267,7302
"22",4648954,4651470,"+","RVBD0006",7302,9818
"2211",4648954,4651470,"-","RVBD0006_as",7302,9818
"6100",4651470,4651566,"+","RVBD0006-RVBD0007 intergenic region",9818,9914
"61001",4651470,4651566,"-","RVBD0006-RVBD0007 intergenic region_as",9818,9914
"26",4651566,4652480,"+","RVBD0007",9914,10828
"2612",4651566,4652480,"-","RVBD0007_as",9914,10828
"7",4652480,4652539,"+","RVBD0007-RVBD6000 intergenic region",10828,10887
"73",4652480,4652539,"-","RVBD0007-RVBD6000 intergenic region_as",10828,10887
"30",4652539,4652615,"+","RVBD6000",10887,10963
"303",4652539,4652615,"-","RVBD6000_as",10887,10963
"8",4652615,4652764,"+","RVBD6000-RVBD6001 intergenic region",10963,11112
"83",4652615,4652764,"-","RVBD6000-RVBD6001 intergenic region_as",10963,11112
"34",4652764,4652839,"+","RVBD6001",11112,11187
"341",4652764,4652839,"-","RVBD6001_as",11112,11187
"9",4652839,4653526,"+","RVBD6001-RVBD0008c intergenic region",11187,11874
"92",4652839,4653526,"-","RVBD6001-RVBD0008c intergenic region_as",11187,11874
"38",4653526,4653963,"-","RVBD0008c",11874,12311
"383",4653526,4653963,"+","RVBD0008c_as",11874,12311
"10100",4653963,4654120,"+","RVBD0008c-RVBD0009 intergenic region",12311,12468
"101001",4653963,4654120,"-","RVBD0008c-RVBD0009 intergenic region_as",12311,12468
"42",4654120,4654668,"+","RVBD0009",12468,13016
"421",4654120,4654668,"-","RVBD0009_as",12468,13016
"11",4654668,4654785,"+","RVBD0009-RVBD0010c intergenic region",13016,13133
"1111",4654668,4654785,"-","RVBD0009-RVBD0010c intergenic region_as",13016,13133
"46",4654785,4655210,"-","RVBD0010c",13133,13558
"463",4654785,4655210,"+","RVBD0010c_as",13133,13558
"12",4655210,4655366,"+","RVBD0010c-RVBD0011c intergenic region",13558,13714
"123",4655210,4655366,"-","RVBD0010c-RVBD0011c intergenic region_as",13558,13714
"50",4655366,4655647,"-","RVBD0011c",13714,13995
"507",4655366,4655647,"+","RVBD0011c_as",13714,13995
"13",4655647,4655741,"+","RVBD0011c-RVBD0012 intergenic region",13995,14089
"1321",4655647,4655741,"-","RVBD0011c-RVBD0012 intergenic region_as",13995,14089
"54",4655741,4656529,"+","RVBD0012",14089,14877
"541",4655741,4656529,"-","RVBD0012_as",14089,14877
"14100",4656529,4656566,"+","RVBD0012-RVBD0013 intergenic region",14877,14914
"141001",4656529,4656566,"-","RVBD0012-RVBD0013 intergenic region_as",14877,14914
"58",4656566,4657264,"+","RVBD0013",14914,15612
"5812",4656566,4657264,"-","RVBD0013_as",14914,15612
"62",4657242,4659122,"-","RVBD0014c",15590,17470
"6212",4657242,4659122,"+","RVBD0014c_as",15590,17470
"66",4659119,4660414,"-","RVBD0015c",17467,18762
"663",4659119,4660414,"+","RVBD0015c_as",17467,18762
"70",4660411,4661886,"-","RVBD0016c",18759,20234
"703",4660411,4661886,"+","RVBD0016c_as",18759,20234
"74",4661883,4663292,"-","RVBD0017c",20231,21640
"7412",4661883,4663292,"+","RVBD0017c_as",20231,21640
"78",4663289,4664833,"-","RVBD0018c",21637,23181
