coordinate,direction
114,+
538,+
1267,-
1794,+
1935,+
2305,-
3034,+
3834,+
5181,+
5287,-
5348,+
5569,+
7890,+
8207,-
8883,+
9112,+
10962,+
11112,+
12484,+
14067,+
14085,-
14914,+
19032,-
19826,-
21401,-
22566,-
23370,-
23796,-
23868,+
24125,-
24670,+
24948,-
25011,-
25132,-
25241,-
25515,-
25628,+
25719,-
29245,+
29632,+
29685,+
30184,-
31967,-
32057,+
33047,-
33227,+
33795,-
33940,+
34667,-
39302,+
39867,-
39940,-
41231,-
41307,+
41385,+
41903,-
42840,-
43410,-
43562,+
43622,-
43672,+
45647,-
47084,-
49027,-
50010,-
50564,+
50791,-
50999,+
51374,-
51784,-
51816,+
51981,+
52697,-
52716,+
52810,+
58117,+
60083,+
60136,+
60286,+
60346,+
63565,-
63872,+
65305,-
65538,-
67728,+
68420,+
68781,-
72958,+
74189,+
74568,-
75255,+
78734,+
79314,-
80240,+
80341,-
80403,-
80624,+
83251,+
85190,+
85563,-
88004,-
88014,+
88166,+
88712,+
89072,+
89158,-
89246,+
89278,+
89536,+
92828,+
94550,+
96981,+
99622,+
101096,+
103525,-
103776,+
106954,+
108297,+
110206,+
110564,-
112895,-
115473,+
117714,+
119226,+
120299,-
122199,-
123210,-
131130,-
131340,+
132914,+
133845,+
136142,+
137693,-
138605,-
139704,+
141054,-
141172,+
142180,+
143876,-
147828,-
148342,-
151075,+
152323,+
152814,+
154705,+
155741,+
156252,+
156452,+
157653,-
157830,+
160276,+
160869,+
161395,+
161768,+
163186,-
165271,-
165294,+
166064,+
166663,-
167105,+
167572,+
167684,-
169305,-
169306,+
169343,-
170485,+
170809,-
171214,+
173231,+
173700,+
175373,+
177341,-
183210,-
186620,-
186651,-
186720,+
188119,-
193102,-
193117,+
193360,-
193671,+
194917,+
194931,-
196285,-
196735,+
196925,-
197084,-
199505,-
200275,-
201027,-
201675,-
202828,-
203335,+
205224,+
206060,+
206608,+
206610,-
206648,+
208324,+
208618,+
208759,+
210817,-
211325,+
214026,-
214087,+
214579,-
214969,+
218015,+
218392,+
218610,-
218711,+
219745,-
219836,+
220055,-
221723,-
221819,+
222392,-
223579,+
223597,-
223632,-
224148,+
225018,-
229717,-
230613,+
235266,+
235589,+
236507,-
236550,+
236681,-
238559,-
238897,-
241335,-
243214,-
243384,+
247283,+
247397,+
247527,-
248115,-
248471,-
248888,-
249020,+
251674,+
253884,+
254666,-
258903,+
260831,-
261421,-
262812,+
264894,+
266538,+
267702,+
268662,+
274397,+
274839,-
274904,-
276025,+
277453,-
277876,+
279584,+
284119,+
285210,+
286795,-
286897,-
287111,-
287118,+
288396,+
289087,+
289115,+
291451,-
292086,-
292114,-
292134,+
292287,+
293163,+
293527,+
293602,+
293815,-
295687,+
295712,-
295966,+
296394,-
296444,-
297375,+
297520,+
298146,-
298918,+
299960,+
300967,-
301301,-
301683,-
302037,+
302068,-
302078,+
303458,+
307974,+
308767,+
309839,-
309855,+
310264,-
310749,-
311316,+
311473,+
314854,-
317503,-
318133,-
322860,-
323020,+
323301,-
323317,+
324522,-
324567,+
325724,+
328499,-
329102,+
329719,-
330350,-
330374,+
331650,+
331693,-
331705,+
331870,+
333420,-
339322,+
340045,-
340998,+
341808,+
341976,+
342006,-
343687,+
345432,+
345941,-
347509,-
352172,+
358074,-
359748,-
361198,-
361265,+
363252,+
363826,+
364369,-
364523,+
372897,+
373089,+
375746,-
377055,-
377113,+
377931,+
379172,+
380521,+
382470,+
382887,+
383530,-
383587,-
383608,+
384872,-
385967,-
386282,-
387073,-
387083,+
388582,+
390340,+
394111,+
396168,+
396848,-
397472,+
398254,+
400168,+
400695,+
402908,-
405887,-
408465,-
408596,+
409309,+
409592,+
409680,+
410401,+
410727,+
410954,-
412280,-
412695,+
414171,+
415044,+
417027,-
417487,+
418586,-
418842,+
418889,-
419340,+
419779,+
419783,-
420155,-
420925,-
421430,-
422404,+
423156,+
423374,+
423881,+
424168,+
427018,+
427929,-
427997,+
431506,+
434762,-
434969,+
435059,+
436578,+
437518,+
438715,-
438790,+
442325,-
442394,+
445259,-
454421,+
455974,+
456079,+
458917,+
459219,-
459317,-
462022,-
462133,+
462673,+
468245,-
468295,+
469591,+
472669,-
474373,-
474841,-
476127,-
476358,+
476557,+
479753,-
482267,-
483754,+
484950,-
485096,-
486975,+
490645,-
490783,+
494746,+
498320,+
498504,+
499663,-
499746,+
501049,+
503495,+
505051,+
505467,+
505649,+
510322,-
510568,-
513212,-
514816,+
515930,-
516892,-
518396,-
518659,+
518703,+
519093,+
519600,+
524844,-
526142,+
528314,-
530060,+
530487,+
530724,-
532307,-
532396,+
532755,+
534398,-
535024,-
535480,-
535636,-
536565,+
536607,+
540227,+
541647,-
541949,-
542003,-
542067,-
542096,-
542160,+
544726,-
545114,-
545226,-
545680,+
545821,-
546343,+
546803,-
547481,-
549110,+
549644,+
551710,+
551832,-
552205,-
552321,+
552614,+
554325,+
555117,-
556306,-
556404,+
557436,+
559750,-
559828,+
559861,+
560729,+
561787,-
562713,-
563452,-
563523,-
563567,+
564987,+
566484,+
566840,+
568353,+
568556,-
568967,-
569223,-
570836,+
571750,+
572758,+
573837,+
574279,-
574903,+
575357,+
578426,+
579290,+
579349,+
584577,-
586218,-
586346,+
586720,+
589897,+
590095,+
590803,-
591041,+
591108,+
591447,+
591654,+
592279,-
592713,+
593126,-
593397,+
594780,-
596642,-
596655,+
600397,+
601331,-
602295,+
602389,+
603379,+
606527,+
607054,+
608588,-
608716,+
609827,+
610117,+
610213,-
611069,-
612908,+
614814,-
614835,+
621286,+
622295,-
622329,+
624624,-
625551,-
626441,+
626475,+
629935,+
629973,-
631940,-
636744,+
637541,-
637969,-
638388,-
639979,-
640256,-
640856,-
642811,-
644400,+
646298,+
648863,+
649689,+
650746,-
651712,-
652771,+
653837,+
654256,+
656457,+
658072,-
658387,+
659449,+
660982,+
661492,+
661540,-
662470,+
664818,-
665412,-
665817,-
668453,-
668459,+
669837,+
670137,-
672026,-
676032,-
676055,+
676238,+
676472,+
677616,-
678584,+
678861,+
678896,+
679145,-
680493,-
682523,-
684410,+
692254,-
692505,-
693858,+
694066,+
695485,-
696336,+
697800,-
701336,-
701430,+
704899,-
706075,+
706243,-
709515,-
710782,+
714190,+
715932,-
716410,+
717896,-
718025,+
719912,-
720014,-
724228,+
728527,+
729278,-
729340,+
729510,-
730163,-
731033,-
731152,+
731178,-
731225,+
731454,+
731494,+
731518,-
731930,+
732632,-
732808,-
733362,+
733683,+
734104,+
735242,+
736035,+
736345,-
736924,+
737257,-
737681,-
738191,-
739243,-
740177,+
742497,-
748059,+
749967,+
750415,+
751258,+
751523,-
751534,+
752490,+
753643,-
754409,-
755231,-
756115,+
756767,+
758636,-
759480,+
759592,+
760190,+
760381,+
760709,+
760742,+
761987,+
762078,+
762116,+
762232,+
762369,+
762441,+
764122,+
764584,+
764755,+
766198,+
767111,+
769434,+
769792,+
770582,+
771484,+
776156,-
776381,-
776624,-
776889,-
777575,-
777644,-
777685,-
778077,-
778340,-
778600,-
778674,-
778967,-
778988,+
779112,+
779144,+
779374,+
780472,-
781376,+
782882,+
784718,-
784748,+
786120,+
787043,-
787952,+
788637,-
788965,+
791272,-
791713,+
792427,+
794160,-
794739,+
795036,-
798673,+
799217,-
800193,-
800203,+
800357,+
801370,+
801970,+
802392,+
805404,+
805643,-
806281,-
806300,+
806652,+
808746,+
809893,+
810315,+
811228,+
813387,+
813620,+
815507,+
815728,+
818510,-
819692,+
820269,+
822908,+
823605,+
824715,+
825193,+
827421,+
828227,-
831994,-
832425,+
834946,-
838375,+
840947,+
841917,-
842029,+
845993,-
847863,-
848322,+
850073,-
850506,-
850713,-
850849,-
851466,-
851548,+
851607,+
851739,-
852061,+
852612,+
852683,-
855408,+
855892,-
856768,+
860003,+
860710,-
868281,+
868339,-
869997,+
870428,+
872055,+
872102,-
873085,+
873343,+
874164,-
874552,+
877433,+
877470,+
878428,-
879359,+
881713,-
882387,-
883273,+
883924,-
885907,+
886080,+
886879,-
888662,-
890314,+
891914,+
893267,-
894631,+
895518,-
895781,+
898791,+
898848,+
901635,+
902130,+
903374,-
903433,+
903724,+
904208,-
905163,-
906340,-
906403,+
907151,-
908113,-
909453,+
909581,-
910032,+
910836,-
910906,+
910938,+
911019,+
911712,+
913643,+
914199,-
916423,-
917866,-
917935,-
918472,-
918613,-
918660,-
918781,-
919575,+
919635,-
921133,-
921933,+
922975,-
923711,-
923875,-
923935,+
924110,+
924288,+
924874,+
924989,+
927932,-
930544,+
932150,-
932199,+
934720,+
935550,+
935660,+
935691,+
935723,+
938053,-
938239,-
938579,+
938662,+
939939,-
941120,-
941678,+
942977,+
944224,-
944328,+
946082,+
946538,+
946690,-
948468,-
951118,-
951183,+
952769,+
953277,+
954525,+
955011,+
956813,+
960333,-
962613,-
962680,+
965463,-
965528,-
967726,+
967748,-
970282,-
970455,+
973064,-
975970,-
976052,+
978917,+
981311,-
982554,-
982638,+
982724,+
983651,-
987053,+
987161,-
988276,-
989861,-
992905,-
993319,-
993739,-
993801,+
996295,-
996447,+
997350,-
997710,-
999334,-
999424,+
1000142,-
1000728,+
1002704,-
1002764,+
1002867,-
1005434,+
1006553,-
1006734,+
1008207,+
1011200,+
1014636,-
1014642,+
1017578,-
1019965,-
1019983,+
1021685,-
1023224,+
1023683,-
1024400,+
1025203,-
1025393,-
1025558,-
1025739,-
1026961,-
1027095,+
1027278,-
1027452,+
1027586,+
1034851,+
1038392,-
1040131,-
1040547,-
1040628,-
1040645,+
1040807,-
1041165,-
1041264,+
1043877,-
1046032,-
1046136,+
1049056,+
1049139,+
1052519,-
1052607,-
1053241,-
1053924,+
1056685,-
1058093,-
1058257,+
1061618,+
1061729,-
1061896,+
1062011,+
1062261,-
1063175,-
1065077,+
1067480,-
1067561,+
1069880,+
1071321,-
1073304,-
1073327,+
1074080,+
1074233,-
1077954,+
1078545,+
1083633,-
1090328,+
1092337,-
1092784,-
1094818,+
1095161,+
1096822,+
1097361,+
1097551,-
1097563,+
1097741,-
1097924,-
1098531,+
1099044,+
1099268,+
1099724,+
1100508,+
1100588,+
1101432,-
1106708,+
1108506,+
1108530,-
1109271,+
1110517,-
1110916,+
1111054,+
1112311,+
1113322,+
1113511,+
1113579,-
1113660,-
1113861,+
1115210,-
1115865,+
1116728,-
1117127,-
1117185,+
1117773,+
1118033,+
1119997,-
1121738,+
1123589,+
1124727,+
1127876,+
1127955,+
1128048,-
1130155,+
1131281,+
1131483,+
1132446,-
1134697,-
1136515,-
1136873,+
1137770,-
1138124,-
1138155,-
1138249,+
1138964,+
1141712,+
1142599,-
1148251,-
1149691,+
1149730,+
1153408,-
1155824,+
1157048,+
1158738,-
1160357,+
1160391,-
1160434,-
1160726,-
1163697,+
1163937,+
1165383,-
1165499,-
1166911,-
1167092,+
1169280,-
1169429,-
1170661,-
1172386,+
1175519,-
1175662,+
1176107,+
1176266,+
1176400,+
1176565,+
1177206,+
1178121,-
1182397,+
1183867,-
1184015,+
1187351,+
1194546,-
1196175,+
1196235,+
1196497,+
1196929,+
1197002,+
1197082,+
1197123,+
1197585,+
1199411,-
1200382,-
1201717,+
1202882,+
1203267,+
1203268,-
1205470,-
1205592,-
1205780,-
1205960,-
1206016,-
1206454,-
1206480,+
1207893,+
1210523,-
1210593,+
1211517,+
1214232,-
1215199,+
1220186,-
1220487,-
1220538,+
1220585,+
1220998,+
1221959,+
1221990,+
1222197,+
1222374,+
1222806,+
1222844,+
1223986,+
1224385,+
1228684,-
1228740,+
1229371,-
1229556,-
1230667,+
1230780,+
1231208,-
1231299,+
1232314,-
1232713,-
1233944,-
1234357,-
1236095,-
1236184,+
1236238,+
1236782,+
1238192,-
1239382,+
1241401,-
1241603,+
1241632,+
1243671,+
1247010,-
1247129,+
1251410,-
1261711,-
1264325,-
1267030,-
1267053,+
1267276,+
1269009,-
1269936,+
1269958,-
1272167,-
1272341,-
1274518,-
1275955,-
1275993,-
1276012,+
1276786,+
1277664,-
1277893,+
1278009,+
1279617,-
1279655,+
1281373,-
1281429,+
1281569,+
1282030,+
1282306,+
1282488,+
1282622,+
1284890,-
1285049,+
1286568,-
1287124,+
1287584,+
1287737,+
1288459,+
1288569,+
1289383,+
1289526,-
1289632,+
1292095,-
1292455,+
1293684,+
1293803,+
1294168,+
1298692,-
1298965,-
1299704,-
1300219,-
1300739,+
1300958,-
1301226,+
1302747,-
1302855,+
1302892,-
1304569,-
1305088,-
1306011,-
1306073,-
1306765,-
1306782,+
1308792,-
1308908,+
1308988,+
1309006,-
1309822,+
1311794,+
1312270,-
1313299,-
1313451,-
1313546,-
1313618,+
1314050,+
1316318,+
1316684,-
1321256,-
1321297,+
1321893,-
1324207,+
1324538,+
1325688,-
1326127,+
1326553,+
1326871,-
1326893,+
1327513,-
1327531,+
1329390,+
1330467,+
1334912,-
1334938,+
1338205,-
1338397,-
1338513,-
1338563,+
1338682,-
1338701,+
1338890,+
1338950,-
1339462,+
1339505,+
1340218,+
1340370,+
1340930,+
1340983,+
1341108,+
1341208,+
1341275,+
1341367,+
