Table S2: Data for individual TA sites in the M. tuberculosis H37Rv genome (NC_018143.1).,,,,,,,,,,,,,
Coordinate,Matches Non Permissive Motif,Num. of Datasets with Insertions,Sum of Normalized Read Counts,Mean Normalized Read Count Among Replicates With Insertions,Low Coverage Site,ORF ID,tRNA,rRNA,DNA-Methylation-Site,TRIT-Site,5pUTR,Promoter,Essentiality State
60,,0,0,0,TRUE,Rv0001,,,,,,,ES
72,,1,8.4,8.4,TRUE,Rv0001,,,,,,,ES
102,,0,0,0,TRUE,Rv0001,,,,,,,ES
188,,0,0,0,TRUE,Rv0001,,,,,,,ES
246,,0,0,0,TRUE,Rv0001,,,,,,,ES
333,,0,0,0,TRUE,Rv0001,,,,,,,ES
360,,0,0,0,TRUE,Rv0001,,,,,,,ES
426,TRUE,0,0,0,TRUE,Rv0001,,,,,,,ES
448,,1,8.4,8.4,TRUE,Rv0001,,,,,,,ES
471,,0,0,0,TRUE,Rv0001,,,,,,,ES
483,TRUE,0,0,0,TRUE,Rv0001,,,,,,,ES
494,,0,0,0,TRUE,Rv0001,,,,,,,ES
504,,1,7.7,7.7,TRUE,Rv0001,,,,,,,ES
514,,0,0,0,TRUE,Rv0001,,,,,,,ES
525,,1,8.4,8.4,TRUE,Rv0001,,,,,,,ES
534,TRUE,0,0,0,TRUE,Rv0001,,,,,,,ES
601,,0,0,0,TRUE,Rv0001,,,,,,,ES
653,,1,1,1,TRUE,Rv0001,,,,,,,ES
670,,0,0,0,TRUE,Rv0001,,,,,,,ES
706,,0,0,0,TRUE,Rv0001,,,,,,,ES
741,,2,16.1,8.1,TRUE,Rv0001,,,,,,,ES
784,,0,0,0,TRUE,Rv0001,,,,,,,ES
794,,0,0,0,TRUE,Rv0001,,,,,,,ES
843,,0,0,0,TRUE,Rv0001,,,,,,,ES
989,,0,0,0,TRUE,Rv0001,,,,,,,ES
1092,,2,14.6,7.3,TRUE,Rv0001,,,,,,,ES
1104,,0,0,0,TRUE,Rv0001,,,,,,,ES
1267,,0,0,0,TRUE,Rv0001,,,,,,,ES
1278,,0,0,0,TRUE,Rv0001,,,,,,,ES
